"strain","pH","term","df","sumsq","meansq","statistic","p.value","clade","subclade"
"18G4B09",4.4,"date",2,0.0992363890807746,0.0496181945403873,83967664978465898807203733700608,0.0000000000000000000000000000000119093462972497,"IV","IVC"
"18G4B09",6.8,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",7.1,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",4.7,"date",2,0.0205268950043532,0.0102634475021766,0.2,0.833333333333333,"IV","IVC"
"18G4B09",5,"date",2,0,0,NA,NA,"IV","IVC"
"18G4B09",4.1,"date",2,0,0,NA,NA,"IV","IVC"
"19G3B07",9.5,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",5.9,"date",1,0.0255304627209247,0.0255304627209247,NA,NA,"II","IIG"
"19G3B07",9.8,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",3.2,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",4.4,"date",1,0.00649797201113404,0.00649797201113404,NA,NA,"II","IIG"
"19G3B07",5.3,"date",1,0.00436582155887544,0.00436582155887544,NA,NA,"II","IIG"
"19G3B07",6.2,"date",1,0.00073848109805011,0.00073848109805011,NA,NA,"II","IIG"
"19G3B07",10.1,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",4.7,"date",1,0.00444897366253258,0.00444897366253258,NA,NA,"II","IIG"
"19G3B07",5,"date",1,0.0124568813723854,0.0124568813723854,NA,NA,"II","IIG"
"19G3B07",7.1,"date",1,0.00914627477090305,0.00914627477090305,NA,NA,"II","IIG"
"19G3B07",5.6,"date",1,0.00113628909946923,0.00113628909946923,NA,NA,"II","IIG"
"19G3B07",6.5,"date",1,0.00106267937369427,0.00106267937369427,NA,NA,"II","IIG"
"19G3B07",6.8,"date",1,0.00297110507012235,0.00297110507012235,NA,NA,"II","IIG"
"19G3B07",4.1,"date",1,0.00422942406843837,0.00422942406843837,NA,NA,"II","IIG"
"19G3B07",3.8,"date",1,0.0117204751002521,0.0117204751002521,NA,NA,"II","IIG"
"19G3B07",8.9,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",9.2,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",3.5,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",7.4,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",7.7,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",8,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",8.3,"date",1,0,0,NA,NA,"II","IIG"
"19G3B07",8.6,"date",1,0,0,NA,NA,"II","IIG"
"20G2A05",5,"date",2,0.0461809449465381,0.0230904724732691,909.811209173463,0.0234363544123037,"IV","IVE"
"20G2A05",4.4,"date",2,0.00707653880121746,0.00353826940060873,2884.41317633764,0.0131649322522642,"IV","IVE"
"20G2A05",4.7,"date",2,0.0163340012838488,0.00816700064192442,164.197242621571,0.0550987616377587,"IV","IVE"
"20G2A05",4.1,"date",2,0.0091607927522189,0.00458039637610945,39.7193194141323,0.111498145379096,"IV","IVE"
"20G2A05",3.8,"date",2,0,0,NA,NA,"IV","IVE"
"20G2A05",3.2,"date",2,0,0,NA,NA,"IV","IVE"
"20G2A05",5.3,"date",2,0.0678756245737194,0.0339378122868597,1235.46634190403,0.0201132235259064,"IV","IVE"
"20G2A05",9.5,"date",2,0.0527304118785603,0.0263652059392802,267.209961403151,0.0432168129524848,"IV","IVE"
"20G2A05",10.1,"date",2,0.0187187529957434,0.00935937649787169,40702238837271752689750389030912,0.000000000000000110834726258086,"IV","IVE"
"20G2A05",9.8,"date",2,0.0701815275476741,0.035090763773837,695035966586650899485124051599360,0.000000000000000026821395038177,"IV","IVE"
"20G2A05",8.9,"date",2,0.0355895359748369,0.0177947679874184,403.86049300172,0.0351641920650001,"IV","IVE"
"20G2A05",9.2,"date",2,0.0330868310232025,0.0165434155116013,1016643997204139369267312155688960,0.0000000000000000221768853782476,"IV","IVE"
"20G2A05",6.5,"date",2,0.0568088360786702,0.0284044180393351,164.975825490277,0.0549689857869222,"IV","IVE"
"20G2A05",5.6,"date",2,0.0549662652998639,0.027483132649932,5941.8166312887,0.00917290947558362,"IV","IVE"
"20G2A05",8,"date",2,0.078215365809828,0.039107682904914,1355.26122971026,0.0192040751584168,"IV","IVE"
"20G2A05",6.2,"date",2,0.0355958653569562,0.0177979326784781,243.52563068889,0.0452654956536967,"IV","IVE"
"20G2A05",3.5,"date",2,0,0,NA,NA,"IV","IVE"
"20G2A05",8.3,"date",2,0.0590868916577642,0.0295434458288821,8034.91469028596,0.00788825342766035,"IV","IVE"
"20G2A05",8.6,"date",2,0.0390952714467149,0.0195476357233575,31205.7344245471,0.00400280394236058,"IV","IVE"
"20G2A05",5.9,"date",2,0.0627932031950816,0.0313966015975408,906.112917586757,0.0234841070192883,"IV","IVE"
"20G2A05",7.4,"date",2,0.0412264821532898,0.0206132410766449,110.149590853734,0.067221793587359,"IV","IVE"
"20G2A05",7.1,"date",2,0.0528045251869651,0.0264022625934826,671.608440536519,0.0272750356841188,"IV","IVE"
"20G2A05",6.8,"date",2,0.0567234010123736,0.0283617005061868,1373.07644948997,0.0190791307448111,"IV","IVE"
"20G2A05",7.7,"date",2,0.115128098893257,0.0575640494466283,565.457881383204,0.0297230208465876,"IV","IVE"
"23D03",7.7,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",8.6,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",8.3,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",7.1,"date",2,0.0885301515000646,0.0442650757500323,909.85804130478,0.0000667733774485938,"III","IIIE"
"23D03",5,"date",2,0.0438254170135785,0.0219127085067892,483.174991520554,0.000172171384380272,"III","IIIE"
"23D03",8.9,"date",2,0.0000848467243781527,0.0000424233621890764,1,0.46475800154489,"III","IIIE"
"23D03",6.2,"date",2,0.0652458787538753,0.0326229393769377,136.737536126055,0.00113031088973316,"III","IIIE"
"23D03",4.4,"date",2,0.0424598387668147,0.0212299193834073,2650.35029783745,0.0000134528216039537,"III","IIIE"
"23D03",7.4,"date",2,0.0000150589470869418,0.00000752947354347089,275824533932009329868756572176384,0.000000000000000000000000000000000000000000000000401039868374342,"III","IIIE"
"23D03",6.8,"date",2,0.0342264511071893,0.0171132255535947,93.7975759991936,0.00197475902618838,"III","IIIE"
"23D03",8,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",10.1,"date",2,0.163981468522009,0.0819907342610045,2.69124136152634,0.214103063571217,"III","IIIE"
"23D03",5.6,"date",2,0.0203715325207062,0.0101857662603531,28.0084886248437,0.0114608397271414,"III","IIIE"
"23D03",3.8,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",4.7,"date",2,0.0346317674331898,0.0173158837165949,1766.97633590083,0.0000247023351246145,"III","IIIE"
"23D03",9.2,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",6.5,"date",2,0.0676449647645855,0.0338224823822927,83.7606402586392,0.00233353330755908,"III","IIIE"
"23D03",4.1,"date",2,0.00485981024754616,0.00242990512377308,0.375,0.715541752799933,"III","IIIE"
"23D03",9.5,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",5.3,"date",2,0.0535656609836195,0.0267828304918097,368.085474140663,0.000258561910416968,"III","IIIE"
"23D03",3.2,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",3.5,"date",2,0,0,NA,NA,"III","IIIE"
"23D03",9.8,"date",2,0.0098436758697465,0.00492183793487325,0.999999999999999,0.46475800154489,"III","IIIE"
"23D03",5.9,"date",2,0.0427735716707816,0.0213867858353908,82.1150367982514,0.00240275954262799,"III","IIIE"
"23D06",6.8,"date",4,0.00789797250033787,0.00197449312508447,NA,NA,"I","IC"
"23D06",7.4,"date",4,0.00582643462525536,0.00145660865631384,NA,NA,"I","IC"
"23D06",9.2,"date",4,0.0355323151094422,0.00888307877736055,NA,NA,"I","IC"
"23D06",5.9,"date",4,0.00384547524627214,0.000961368811568036,NA,NA,"I","IC"
"23D06",4.1,"date",4,0.00705044066019723,0.00176261016504931,NA,NA,"I","IC"
"23D06",3.8,"date",4,0.0112812825575224,0.0028203206393806,NA,NA,"I","IC"
"23D06",6.5,"date",4,0.00520253426383644,0.00130063356595911,NA,NA,"I","IC"
"23D06",8.9,"date",4,0.054191985651729,0.0135479964129323,NA,NA,"I","IC"
"23D06",5,"date",4,0.00985192425876278,0.00246298106469069,NA,NA,"I","IC"
"23D06",7.1,"date",4,0.00855454860301403,0.00213863715075351,NA,NA,"I","IC"
"23D06",4.4,"date",4,0.00840813593598608,0.00210203398399652,NA,NA,"I","IC"
"23D06",8.6,"date",4,0.0324973179739891,0.00812432949349727,NA,NA,"I","IC"
"23D06",9.5,"date",4,0.033118871870031,0.00827971796750774,NA,NA,"I","IC"
"23D06",9.8,"date",4,0.0308476725386418,0.00771191813466045,NA,NA,"I","IC"
"23D06",10.1,"date",4,0.0310804603188065,0.00777011507970164,NA,NA,"I","IC"
"23D06",3.5,"date",4,0,0,NA,NA,"I","IC"
"23D06",6.2,"date",4,0.00840800090035085,0.00210200022508771,NA,NA,"I","IC"
"23D06",5.3,"date",4,0.00245686864902222,0.000614217162255554,NA,NA,"I","IC"
"23D06",5.6,"date",4,0.00464389049883831,0.00116097262470958,NA,NA,"I","IC"
"23D06",3.2,"date",4,0.0000277511428839446,0.00000693778572098614,NA,NA,"I","IC"
"23D06",4.7,"date",4,0.00213620516987126,0.000534051292467815,NA,NA,"I","IC"
"23D06",8,"date",4,0.0370645159277774,0.00926612898194434,NA,NA,"I","IC"
"23D06",8.3,"date",4,0.00888260091921295,0.00222065022980324,NA,NA,"I","IC"
"23D06",7.7,"date",4,0.00826333284145274,0.00206583321036319,NA,NA,"I","IC"
"23G1A10",4.1,"date",2,0.00059369744448385,0.000296848722241925,14.8009042604093,0.180770039660159,"IV","IVB"
