sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	max.OD	date
B5	0.400326698232969	0.00196275497040932	0.450156802101553	11.8025916958021	1.53979052926445	14.580939718246	14.700625	0.0153426319216751		35G3B04	5.9	0.428	2023-02-06
B6	0.369711880533775	0.025862756956555	0.219094903066515	11.8094896420975	3.16368464468346	13.3455559456316	13.32525	0.0250625147139345		35G3B04	8.3	0.404	2023-02-06
C1	0.213924755288972	0.0146587741963988	0.329640992580636	7.9164955269168	2.10273356821782	8.57929913105604	8.6015	0.0265050719345269		25G2A02	3.8	0.293	2023-02-06
C10	0.417441311832924	0.00128464259657323	0.350139325968026	16.5093744823541	1.97963247528283	13.2403938159291	13.38825	0.0130416516984976		28D03	3.8	0.436	2023-02-06
C11	0.442170615220127	0.00597222168551719	0.265911755526879	16.1368502215694	2.60668122470381	14.1710639510446	14.189375	0.0111657578978636		28D03	6.2	0.455	2023-02-06
C12	0.273111166653453	0.00623025678405988	0.170539064773638	22.0324005185535	4.06444811621303	7.13782092070146	7.207	0.0104640492363872		28D03	8.6	0.287	2023-02-06
C2	0.589010804614701	0.00521718724169985	0.537213130588694	8.78159680536874	1.29026477778079	23.2293803735255	23.26175	0.0234100424225017		25G2A02	6.2	0.629	2023-02-06
C3	0.402634680961901	0.0124490147282412	0.269944602069542	12.7618081088086	2.56773862209469	14.2364432213923	14.23975	0.0100359670684049		25G2A02	8.6	0.424	2023-02-06
C4	0.425956499586156	0.00282238903271635	0.231904914462002	21.6041367024247	2.98892838113406	11.3356654951498	11.49375	0.0108325419691111		35G3B04	3.8	0.431	2023-02-06
C5	0.395347821745512	0.0203123674698858	0.319165030913062	9.13568326199675	2.1717516438972	15.3929382991764	15.357	0.0174757408816162		35G3B04	6.2	0.427	2023-02-06
C6	0.336104991722368	0.0223413500402828	0.216764255305835	12.1892825083034	3.19770055991001	12.0094927861621	11.94775	0.0264094463624246		35G3B04	8.6	0.369	2023-02-06
D1	0.609275861669748	0.0377321667862582	0.200782920939468	13.5361511976215	3.45222181905062	20.950709888702	20.8565	0.0383192948936759		25G2A02	4.1	0.658	2023-02-06
D10	0.44000133153009	0.00175896701630282	0.346490400592998	15.9255361110868	2.00048018465639	14.2116267700107	14.32275	0.0114928534022886		28D03	4.1	0.456	2023-02-06
D11	0.458081127243105	0.0108297212731581	0.218227470966983	17.0502206956525	3.17625997079358	14.2377695099774	14.199	0.0116979196681072		28D03	6.5	0.47	2023-02-06
D12	0.520291251400005	0.0190998639600058	0.0686789803881338	47.573607063125	10.0925665559197	5.14204536261239	5.12025	0.00852587794190339		28D03	8.9	0.256	2023-02-06
D2	0.546940924342691	0.00641836898085171	0.458313933859784	9.67322179542539	1.51238513462261	21.0775352277094	21.140375	0.0231387271620025		25G2A02	6.5	0.572	2023-02-06
D3	0.436706385029157	0.0144238817408447	0.213996228530508	15.7796670774567	3.23906260086788	14.1073596679509	14.143	0.0155138640208748		25G2A02	8.9	0.458	2023-02-06
D4	0.482354934627186	0.0020485492473471	0.223337409114452	24.4351914280003	3.10358745231406	11.4818864764272	11.71	0.013204678326402		35G3B04	4.1	0.48	2023-02-06
D5	0.389236949063433	0.0237146631803763	0.195843742954789	13.9664083893217	3.53928683195133	13.2165159957065	13.221375	0.0316645227446514		35G3B04	6.5	0.419	2023-02-06
D6	0.337464291330404	0.014258063624496	0.254941582841382	12.2418945764447	2.71884708973194	12.0897570771677	12.068625	0.0171829294741871		35G3B04	8.9	0.369	2023-02-06
E1	0.52083525959138	0.0192881099767281	0.291619748155996	11.1727988179101	2.37688697333748	19.2365188973862	19.245375	0.0262391603179115		25G2A02	4.4	0.561	2023-02-06
E10	0.436675014823026	0.00180978333049651	0.347949608157586	15.7546636372097	1.99209070597953	14.1786399673104	14.298375	0.0115545996405924		28D03	4.4	0.452	2023-02-06
E11	0.41434595654638	0.0154614596320143	0.185606595491123	17.51188546294	3.73449649634404	12.6529998941486	12.629875	0.00904176106750589		28D03	6.8	0.422	2023-02-06
E12	0.0881089400503704	0.00701248337412454	0.122821007745803	19.9310151768187	5.64355555520696	2.45627949244348	2.4695	0.00372512025006481		28D03	9.2	0.087	2023-02-06
E2	0.58041027229714	0.0100012135663787	0.417881142519567	9.67654889543414	1.65871849679718	22.3562243920588	22.398375	0.0275881776574362		25G2A02	6.8	0.615	2023-02-06
E3	0.41656828960252	0.00925954517290152	0.181344949633874	20.8658502002341	3.82225797828599	11.3659443051748	11.4725	0.0168613152061164		25G2A02	9.2	0.407	2023-02-06
E4	0.54850616007715	0.0232384055423243	0.149462340380819	20.8621236090521	4.63760422052712	14.916769946529	14.995625	0.0180540087392337		35G3B04	4.4	0.533	2023-02-06
E5	0.390443503353938	0.0256727337254549	0.21830510477282	12.1565624700822	3.17513042712067	13.9660593782205	13.98575	0.0530120418019709		35G3B04	6.8	0.447	2023-02-06
E6	0.35918028223883	0.022169844167255	0.220799603312932	12.3251168386841	3.13925917510626	12.795467195205	12.761125	0.0107784459674895		35G3B04	9.2	0.379	2023-02-06
